title,total_time,prep_time,cook_time,difficulty,comments,rating,category,yield,link,image
Verrine avocat thon au Thermomix,15,15,0,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/verrine-avocat-thon-au-thermomix-105535.aspx,https://img.cuisineaz.com/660x660/2018-12-17/i145302-verrines-avocat-thon-thermomix.jpeg
Mousse de truite saumonée,40,20,20,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-truite-saumonee-104346.aspx,https://img.cuisineaz.com/660x660/2018-10-27/i143590-mousse-de-truite-saumonee.jpeg
Torsades apéritives au Roquefort Société et noix,30,20,10,easy,0,5.0,aperitif,5 Pers.,https://www.cuisineaz.com/recettes/torsades-aperitives-au-roquefort-societe-et-noix-98968.aspx,https://img.cuisineaz.com/660x660/2017-09-08/i132287-torsades-aperitive-roquefort-societe-et-noix.jpeg
Mon p'tit beurre de radis : pour des apéros qui changent !,10,10,0,easy,0,4.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mon-p-tit-beurre-de-radis-pour-des-aperos-qui-changent-97276.aspx,https://img.cuisineaz.com/660x660/2017-04-28/i125282-.jpeg
"Mousse de mozzarella, tartare de tomate, perles de basilic",45,45,0,medium,0,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/mousse-de-mozzarella-tartare-de-tomate-perles-de-basilic-87921.aspx,https://img.cuisineaz.com/660x660/2016-06-27/i77989-mousse-mozzarella.jpg
Mousse de fromage frais aux herbes,15,15,0,easy,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-fromage-frais-aux-herbes-87151.aspx,https://img.cuisineaz.com/660x660/2016-05-17/i94393-mousse-de-fromage-frais-aux-herbes.jpg
"Quiche roquette, chorizo, chèvre frais et tomates",45,10,35,easy,5,4.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/quiche-roquette-chorizo-chevre-frais-et-tomates-56132.aspx,https://img.cuisineaz.com/660x660/2013-06-18/i19376-quiche-roquetten-chorizo-chevre-et-tomates.jpg
Mousse de saumon rose,40,30,10,medium,2,4.0,aperitif,10 Pers.,https://www.cuisineaz.com/recettes/mousse-de-saumon-rose-17327.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i28668-mousse-de-saumon-rose.jpg
Poivronade au Thermomix,5,5,0,easy,0,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/poivronade-au-thermomix-106262.aspx,https://img.cuisineaz.com/660x660/2019-04-01/i146257-poivronade-au-thermomix.jpeg
Trio de sauce apéro et ses chips,10,10,0,easy,0,4.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/trio-de-sauce-apero-et-ses-chips-96636.aspx,https://img.cuisineaz.com/660x660/2017-03-22/i122229-.jpeg
Mousse de saumon au Thermomix©,10,10,0,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-saumon-au-thermomix-91892.aspx,https://img.cuisineaz.com/660x660/2016-12-30/i114959-mousse-de-saumon-au-thermomix.jpeg
Blinis de patate douce,20,15,5,easy,0,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/blinis-de-patate-douce-84096.aspx,https://img.cuisineaz.com/660x660/2015-11-11/i84631-blinis-de-patate-douce.jpg
Blinis revisités au saumon fumé au sarrasin,25,15,10,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/blinis-revisites-au-saumon-fume-au-sarrasin-83104.aspx,https://img.cuisineaz.com/660x660/2015-07-15/i95164-blini-revisite-au-saumon-fume-au-sarrasin.jpg
Mousse aux champignons,35,25,10,easy,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-aux-champignons-74927.aspx,https://img.cuisineaz.com/660x660/2014-11-12/i77399-mousse-aux-chmapignons.jpg
Espuma de chorizo sur crackers,20,10,10,easy,9,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/espuma-de-chorizo-sur-crackers-61151.aspx,https://img.cuisineaz.com/660x660/2015-01-29/i87029-espuma-de-chorizo.jpg
"Mousse légère concombre, crevettes et coriandre",15,15,0,medium,12,3.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-legere-concombre-crevettes-et-coriandre-52727.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i32799-mousse-concombres-crevettes.jpg
Beignets au fenouil,75,15,60,easy,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/beignets-au-fenouil-39991.aspx,https://img.cuisineaz.com/660x660/2017-02-02/i119565-beignets-au-fenouil.jpeg
Mousse de thon à la gelée madère,20,15,5,easy,2,4.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/mousse-de-thon-a-la-gelee-madere-39507.aspx,https://img.cuisineaz.com/660x660/2015-10-08/i88218-mousse-de-thon-a-la-gelee-madere.jpg
Mousse de saumon frais à congeler,50,40,10,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-saumon-frais-a-congeler-35148.aspx,https://img.cuisineaz.com/660x660/default/default.jpg
Mousse de poulet,50,30,20,easy,1,3.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-poulet-35145.aspx,https://img.cuisineaz.com/660x660/2014-11-14/i108351-mousse-de-poulet.jpg
Mousse d'avocat à la crème acidulée et au saumon fumé,25,25,0,easy,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-d-avocat-a-la-creme-acidulee-et-au-saumon-fume-35125.aspx,https://img.cuisineaz.com/660x660/2016-01-25/i106488-mousse-avocat.jpg
Gougères apéritives au maroilles,35,15,20,easy,4,3.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/gougeres-aperitives-au-maroilles-1937.aspx,https://img.cuisineaz.com/660x660/2015-10-27/i76688-gougeres-aperitives-au-maroilles.jpg
Tuiles au parmesan au Thermomix,15,5,10,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/tuiles-au-parmesan-au-thermomix-105532.aspx,https://img.cuisineaz.com/660x660/2018-12-16/i145299-tuiles-au-parmesan-au-thermomix.jpeg
Mini cakes au saumon et au Boursin,40,10,30,easy,1,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mini-cakes-au-saumon-et-au-boursin-104373.aspx,https://img.cuisineaz.com/660x660/2018-10-28/i143617-mini-cakes-au-saumon-et-au-boursin.jpeg
Panna cotta avocat saumon,0,,0,medium,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/panna-cotta-avocat-saumon-104292.aspx,https://img.cuisineaz.com/660x660/2018-10-26/i143531-verrine-de-saumon-fume-avec-mousse-d-avocat.jpeg
Pingouins pour l'apéro,10,10,0,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/pingouins-pour-l-apero-102358.aspx,https://img.cuisineaz.com/660x660/2018-07-08/i140870-pingouins-pour-l-apero.jpeg
Gougères sans lactose,40,15,25,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/gougeres-sans-lactose-99548.aspx,https://img.cuisineaz.com/660x660/2017-11-01/i133699-gougeres-sans-lactose.jpeg
Mousse de betterave façon houmous au Thermomix©,15,15,0,easy,0,3.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/mousse-de-betterave-facon-houmous-au-thermomix-91893.aspx,https://img.cuisineaz.com/660x660/2016-12-30/i114960-mousse-de-betterave-facon-houmous-au-thermomix.jpeg
Mousse de sardine au Carré Frais,15,15,0,easy,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-sardine-au-carre-frais-85585.aspx,https://img.cuisineaz.com/660x660/2016-02-19/i29880-mousse-de-sardine-au-carre-frais.png
Fingers apéritifs au comté,22,10,12,easy,3,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/fingers-aperitifs-au-comte-83662.aspx,https://img.cuisineaz.com/660x660/2015-09-28/i93899-fingers-aperitifs-au-comte.jpg
Mousse de jambon au porto,14,10,4,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-jambon-au-porto-68250.aspx,https://img.cuisineaz.com/660x660/2014-06-18/i22847-mousse-de-jambon-au-porto.jpg
Mousse d'avocat au thon,20,20,0,easy,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-d-avocat-au-thon-61565.aspx,https://img.cuisineaz.com/660x660/2015-04-07/i90787-mousse-d-avocat-au-thon.jpg
Mousse d’avocat et saumon fumé,28,25,3,medium,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-d-avocat-et-saumon-fume-59617.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i43506-mousse-d-avocat-et-saumon-fume.jpg
Mini feuilletés apéritif à la cancoillotte,30,15,15,easy,0,4.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mini-feuilletes-aperitif-a-la-cancoillotte-56339.aspx,https://img.cuisineaz.com/660x660/2015-10-10/i107924-mini-feuilletes-aperitif-a-la-cancoillotte.jpg
Espumas de myrtilles,25,20,5,medium,3,3.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/espumas-de-myrtilles-52470.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i22447-recete-d-espumas-de-myrtille.jpg
Mousse de crabe,25,25,0,easy,0,4.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-crabe-35131.aspx,https://img.cuisineaz.com/660x660/2015-10-08/i88208-mousse-de-crabe.jpg
Mousse d'aubergine légère,45,30,15,easy,1,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-d-aubergine-legere-23438.aspx,https://img.cuisineaz.com/660x660/2018-03-19/i137127-mousse-d-aubergine-legere.jpeg
Mousse d'aubergines,55,20,35,easy,1,3.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-d-aubergines-4538.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i75377-photo-de-mousse-d-aubergines.jpg
Mini burgers au Thermomix,50,30,20,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mini-burgers-au-thermomix-106137.aspx,https://img.cuisineaz.com/660x660/2019-03-22/i146146-mini-burgers-au-thermomix.jpeg
Cookies au chorizo au Thermomix,25,10,15,easy,0,5.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/cookies-au-chorizo-au-thermomix-105408.aspx,https://img.cuisineaz.com/660x660/2018-12-10/i144891-cookies-au-chorizo.jpeg
Brochette de tomate cerise et jambon cru,5,5,0,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/brochette-de-tomate-cerise-et-jambon-cru-105262.aspx,https://img.cuisineaz.com/660x660/2018-12-12/i145066-brochette-tomate-cerise-jambon-cru.jpeg
Tapenade d'asperges vertes,30,10,20,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/tapenade-d-asperges-vertes-105125.aspx,https://img.cuisineaz.com/660x660/2018-12-11/i145020-tapenade-asperges-vertes.jpeg
Verrine asperges et surimi,10,10,0,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/verrine-asperges-et-surimi-105059.aspx,https://img.cuisineaz.com/660x660/2018-12-11/i145014-verrine-asperge-surimi.jpeg
Gougères au Companion,40,15,25,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/gougeres-au-companion-101779.aspx,https://img.cuisineaz.com/660x660/2018-04-25/i139793-.jpeg
Légumes apéritif et duo de tartinade,20,20,0,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/legumes-aperitif-et-duo-de-tartinade-101074.aspx,https://img.cuisineaz.com/660x660/2018-02-21/i135893-legumes-aperitif-et-duo-de-tartinade.jpeg
L'apéro improvisé de Nathalie Nguyen,30,20,10,medium,2,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/l-apero-improvise-de-nathalie-nguyen-96837.aspx,https://img.cuisineaz.com/660x660/2017-04-04/i124639-l-apero-improvise-de-nathalie-nguyen.jpeg
Mini quiches apéritives sans pâte aux épinards,75,20,55,easy,0,4.5,aperitif,10 Pers.,https://www.cuisineaz.com/recettes/mini-quiches-aperitives-sans-pate-aux-epinards-96243.aspx,https://img.cuisineaz.com/660x660/2017-02-28/i121510-mini-quiches-aperitives-sans-pate-aux-epinards.jpeg
Mousse d'avocat aux crevettes et aux oeufs,25,15,10,easy,0,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-d-avocat-aux-crevettes-et-aux-oeufs-86108.aspx,https://img.cuisineaz.com/660x660/2016-03-23/i4932-mousse-d-avocat-aux-crevettes-et-aux-oeufs.png
Beignets de morue portugais,0,0,0,medium,0,4.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/beignets-de-morue-portugais-82729.aspx,https://img.cuisineaz.com/660x660/default/default.jpg
Blinis de carottes au cumin,65,45,20,medium,1,3.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/blinis-de-carottes-au-cumin-78716.aspx,https://img.cuisineaz.com/660x660/2015-03-24/i23541-blinis-de-carottes-au-cumin.jpg
Gougères faciles,45,20,25,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/gougeres-faciles-67602.aspx,https://img.cuisineaz.com/660x660/2014-05-15/i24932-photo-de-gougeres.jpg
Espumas à la vanille,15,10,5,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/espumas-a-la-vanille-59702.aspx,https://img.cuisineaz.com/660x660/2016-04-28/i9014-espumas-a-la-vanille.jpg
Mousse de poivrons,15,10,5,easy,2,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-de-poivrons-59034.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i10300-mousse-de-poivrons.jpg
Espuma de chou fleur et crumble de parmesan,70,35,35,easy,2,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/espuma-de-chou-fleur-et-crumble-de-parmesan-58332.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i20162-espuma-chou-fleur.jpg
banane aperitif,910,900,10,easy,0,4.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/banane-aperitif-56315.aspx,https://img.cuisineaz.com/660x660/default/default.jpg
Mousse de betteraves au fromage de chèvre,20,20,0,easy,2,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-betteraves-au-fromage-de-chevre-46778.aspx,https://img.cuisineaz.com/660x660/2014-11-14/i91317-mousse-de-betteraves-au-fromage-de-chevre.jpg
Baguette surprise au St-Môret®,45,20,25,easy,4,4.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/baguette-surprise-au-st-moret-29844.aspx,https://img.cuisineaz.com/660x660/2016-03-17/i98163-baguette-surprise.jpg
Beignets de morue,105,60,45,medium,1,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/beignets-de-morue-7593.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i15123-beignets-de-morue.jpg
Mousse de légumes printaniers,50,30,20,medium,3,4.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-legumes-printaniers-6508.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i72381-photo-de-mousse-de-legumes-printaniers.jpg
Mousse de surimi,30,30,0,missing,4,3.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-surimi-4705.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i69233-photo-de-mousse-de-surimi.jpg
Mousse aux deux saumons en gelée,25,20,5,missing,3,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/mousse-aux-deux-saumons-en-gelee-3242.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i39062-mousse-2-saumons.jpg
Blinis au caviar,5,5,0,easy,0,4.5,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/blinis-au-caviar-870.aspx,https://img.cuisineaz.com/660x660/2013-12-20/i110466-blinis-au-caviar.jpg
Mousse de thon assaisonnée,30,30,0,easy,0,5.0,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/mousse-de-thon-assaisonnee-790.aspx,https://img.cuisineaz.com/660x660/default/default.jpg
Sardinade,5,5,0,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/sardinade-105877.aspx,https://img.cuisineaz.com/660x660/2019-01-21/i145784-sardinade.jpeg
Muffin aux courgettes au Thermomix,30,10,20,easy,1,4.0,aperitif,8 Pers.,https://www.cuisineaz.com/recettes/muffin-aux-courgettes-au-thermomix-105418.aspx,https://img.cuisineaz.com/660x660/2018-12-09/i144877-muffin-aux-courgettes-au-thermomix.jpeg
Rillettes de poulet au Thermomix,3,3,0,easy,3,3.5,aperitif,6 Pers.,https://www.cuisineaz.com/recettes/rillettes-de-poulet-au-thermomix-105380.aspx,https://img.cuisineaz.com/660x660/2018-12-08/i144841-rillettes-de-poulet-au-thermomix.jpeg
Verrines de pamplemousse au thon,20,20,0,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/verrines-de-pamplemousse-au-thon-105325.aspx,https://img.cuisineaz.com/660x660/2018-12-12/i145115-verrine-pamplemousse-thon.jpeg
Houmous aux pois chiches à l'extracteur de jus,15,15,0,easy,0,5.0,aperitif,4 Pers.,https://www.cuisineaz.com/recettes/houmous-aux-pois-chiches-a-l-extracteur-de-jus-105023.aspx,https://img.cuisineaz.com/660x660/2018-11-22/i144397-houmous.jpeg
